File Name,Old Key,Translation
ru.kdd1.txt,First Level,Первый Уровень
ru.kdd1.txt,Second Level,Второй Уровень
ru.kdd1.txt,Third Level,Третий Уровень
ru.kdd1.txt,Fourth Level,Четвёртый Уровень
ru.kdd1.txt,Mastery Level,Зона Мастера
ru.kdd1.txt,entr1,"Битро Бадкин, профессиональный зачиститель подземелий пятого поколения, был нанят Королём Дуганом, чтобы очистить многоэтажные королевские темницы от огромного скопища монстров.
Битро заплатят за каждую комнату, и как профессионал, по контракту он обязуется очистить все комнаты в подземелье, перед тем как получить оплату.
Единственное оружие, нужное Битро для работы - это его Очень Большой Меч, разящий почти любого монстра с одного удара.

-----

""Надеюсь, что уж за верхний-то уровень мне не придётся платить. Мне его уже и так почистили. Ну, по большей части."" -Король Дуган"
ru.kdd1.txt,entr2,"Битро немного не в форме, но следующий уровень быстро заставит его вспомнить былые навыки."
ru.kdd1.txt,entr3,"""Хмм... пока что я вижу только тараканов"", подумал Битро, ""работка выглядит непыльной""."
ru.kdd1.txt,entr4,"""Ах, если бы я мог взять с собой побольше двойников на нижние уровни"", сказал Битро. ""Дело бы пошло намного быстрее."""
ru.kdd1.txt,entr4Back,"Битро вернулся завершить работу по зачистке, на которую он был нанят."
ru.kdd1.txt,entrMaster,"Битро спустился по ступеням и оказался в не отмеченном на карте коридоре...

За зачистку этого места он не получит платы, но профессиональная гордость не позволяет ему оставить уровень неочищенным."
ru.kdd1.txt,sc1e0,Используйте цифровую клавиатуру или 789 гшщ олд (789uiojkl) для передвижения. Кнопки могут быть перенастроены в Меню (Escape).
ru.kdd1.txt,sc1e1,"Для просмотра кнопок управления в любой момент, нажмите Escape и выберите `Как Играть` а затем `Общая Помощь`."
ru.kdd1.txt,sc1_1n,"Значение этой жёлтой двери будет ясно позже.

Пока что просто продолжайте идти на запад."
ru.kdd1.txt,sc1_1n1w1,Поворачивайте меч кнопками `Й` и `Ц` (`Q` и `W`).
ru.kdd1.txt,sc1_1n1w2,"Ударьте сферу мечом, чтобы открыть двери в комнате."
ru.kdd1.txt,sc1_1n1w3,Некоторые сферы переключают жёлтые двери между открытым и закрытым состоянием.
ru.kdd1.txt,sc1_2n1w1,"Вы можете узнать, что делает сфера, кликнув на неё мышкой. Двери, высвеченные разными цветами, показывают разные возможные эффекты."
ru.kdd1.txt,sc1_2n1w2,"Вместо того, чтобы переключать состояние жёлтой двери, некоторые сферы могут только открывать или только закрывать её."
ru.kdd1.txt,sc1_3n1w1,Синие ворота открываются только когда все требуемые комнаты на уровне (этаже) полностью очищены.
ru.kdd1.txt,sc1_3n1w2,Требуемые комнаты помечены на мини-карте красным фоном.
ru.kdd1.txt,sc1_3n2w1,Голоса и текст могут быть пропущены нажатием кнопки `Space`.
ru.kdd1.txt,sc1_3n2w2,"Когда вы убьёте всех монстров и выйдете из комнаты, она будет помечена как зачищенная."
ru.kdd1.txt,sc1_3n2w3,"На мини-карте зачищенные комнаты имеют белый фон, а незачищенные - красный."
ru.kdd1.txt,sc1_3n2w4,"Победите все требуемые комнаты, чтобы открыть путь на следующий уровень."
ru.kdd1.txt,sc1_4n3w,"Стрелки блокируют путь Битро и монстров в сторону, противоположную той, куда они указывают."
ru.kdd1.txt,sc1_4n1w,"Зелёные ворота открываются, когда вы убьёте всех монстров в комнате."
ru.kdd1.txt,sc1_5n1w1,"Посмотрите, как ведёт себя южный таракан, когда он хочет пойти по диагонали, но блокирован. Используйте кнопку ""Ш"" (""I"") или цифровую 5, чтобы пропускать ходы."
ru.kdd1.txt,sc1_5n1w2,"Большинство монстров, встречая угол, всегда выберут движение по вертикали, а не по горизонтали."
ru.kdd1.txt,sc1_5n2w1,"Помните, что вы можете кликнуть сферу мышкой, чтобы узнать, на какие двери она влияет."
ru.kdd1.txt,sc1_5n2w2,"Осторожно!  Здесь довольно опасно.

Если вы сделали ошибку, нажмите кнопку `Backspace`, чтобы отменить последний ход. Можно отменить до трёх ходов подряд."
ru.kdd1.txt,sc1_5n2w3,Вы также можете отменить ход (или начать комнату заново) в момент смерти!
ru.kdd1.txt,sc1_5n2w4,"Точка сохранения ('X') позволяет вам отменить все последующие ходы и вернуться на неё.
Нажмите `К` (`R`), чтобы начать комнату заново или вернуться на последнюю точку сохранения, на которой вы побывали."
ru.kdd1.txt,sc1_6n2w,"Хороший мечник может победить всех тараканов, не используя южное укрытие, чтобы спрятаться!"
ru.kdd1.txt,sc1_6n3w1,"Используйте тактику удара назад, чтобы избавится от таракана."
ru.kdd1.txt,sc1_6n3w2,"Переместитесь на зелёный пол так, чтобы таракан оказался на песчаной клетке строго к северу от вас..."
ru.kdd1.txt,sc1_6n3w3,"Переместитесь на зелёный пол так, чтобы таракан оказался на песчаной клетке строго к югу от вас..."
ru.kdd1.txt,sc1_6n3w4,"...а потом пойдите на северо-восток, чтобы убить его."
ru.kdd1.txt,sc1_6n3w5,"...а потом пойдите на юго-восток, чтобы убить его."
ru.kdd1.txt,sc1_6n3w6,"Повторите снова, чтобы освоить удар назад. Эта тактика вам сильно пригодится в будущих битвах."
ru.kdd1.txt,sc1_5n1,Аварийный выход в неисправности.
ru.kdd1.txt,sc1_5n2,"Издвиняйте, мы дом дальше не строить пока тут везде всегда вокруг такая большая таракан."
ru.kdd1.txt,sc1_4n,"Пожалуйста, оставляйте двери оранжереи закрытыми."
ru.kdd1.txt,sc1_1n1e,"Эти ступени ведут на следующий уровень. Берегитесь того, что вы встретите там..."
ru.kdd1.txt,sc2_2n1,"Знаете ли вы что, если держать Shift, когда вы делаете ход, вы автоматически сделаете противоположный ход сразу после него?"
ru.kdd1.txt,sc2_2n2,"Shift+Ждать пропускает все ходы до следующего периода разрастания, а `Цифровой +` или `=` сделают ход противоположный предыдущему!"
ru.kdd1.txt,sc2_1n1e,Нечего быть таким деструктивным.
ru.kdd1.txt,sc2e,"Начните с северных комнат, чтобы не ходить слишком долго туда и обратно."
ru.kdd1.txt,sc2_1s3e1,"Вы можете предотвратить случайный выход из комнаты, заперев её кнопкой `Ч` (`X`)."
ru.kdd1.txt,sc2_1s3e2,"Маленький замок на мини-карте показывает, что комната заперта."
ru.kdd1.txt,sc2_1s,"Не делай этого! Очевидно, что произойдёт!"
ru.kdd1.txt,sc2_2s3e,"Делая всё в нужное время, вы существенно упрощаете себе жизнь."
ru.kdd1.txt,sc3_3n,"Предупреждаю вас насчёт двойников. Они вам не друзья и не враги - просто они двигаются так же, как и вы. Не поворачивайтесь к ним спиной."
ru.kdd1.txt,sc3_3n1e,"Все узники были съедены гигантскими тараканами, и я следующий! В гробу я видел такую работу. Я смываюсь!

-Тюремный Надзиратель"
ru.kdd1.txt,sc3_2n,"В этот проход возможно попасть, не входя в комнату снова после её очистки."
ru.kdd1.txt,sc3_1n1w,"С эликсиром невидимости они не могут вас увидеть, но могут учуять, если подойти к ним достаточно близко."
ru.kdd1.txt,sc3_1e,Такая длинная прогулка. Даже кажется излишней.
ru.kdd1.txt,sc3_1s,"Восемь Ворот Билла - это весьма трудная головоломка. Раньше она была намного сложнее, но теперь я могу проверять сферы, чтобы узнать что они делают."
ru.kdd1.txt,sc3_2s1w,"Вот что я вам скажу - когда вы видите длинный и тяжёлый путь, хорошенько поищите короткий."
ru.kdd1.txt,sc3_2s1,"Возвращайся назад! Разве ты не знаешь, что только в последнем году количество смертей, связанных с подземельями, возросло на 32 процента?"
ru.kdd1.txt,sc3_2s2,"Посмотри в лицо фактам - исследование подземелий очень опасно, особенно в сочетании с алкогольными напитками.
-РППС (Родители Против Подземельной Смертности)"
ru.kdd1.txt,sc4_2n1e1,"Это стена мастера. Она не откроется, пока вы не завоюете Крепость, а также все её секреты."
ru.kdd1.txt,sc4_2n1e2,"В оригинальном ""Подземелье Короля Дугана"" здесь была комната-портал, позволяющая пропустить несколько уровней."
ru.kdd1.txt,sc4_1n1,"Подсказка:

Помощь двойника не нужна, чтобы сражаться с тараканами у входа."
ru.kdd1.txt,sc4_1n2,"Подсказка:

Постарайтесь использовать тактику УДАРА НАЗАД: это очень полезно, когда монстры подобрались с обоих сторон!"
ru.kdd1.txt,sc4_2e,"Если у вас хороший стиль, все 9 двойников будут построены справа от вас."
ru.kdd1.txt,scMe1,Более трудные версии существующих головоломок.
ru.kdd1.txt,scMe2,Последние слова!
ru.kdd1.txt,scMe3,"Непростые, оригинальные комнаты."
ru.kdd1.txt,scM_1s1,"Вот и всё. Вы завершили всё что есть в этой игре. Кроме, может быть, нескольких Достижений."
ru.kdd1.txt,scM_1s2,Я вас сердечно поздравляю и приглашаю продолжить ваше путешествие.
ru.kdd1.txt,scM_1s3,"На сайте CaravelGames.com, вы можете найти следующие эпизоды KDDL или скачать одну из полных игр DROD для Windows, MacOS, или Linux."
ru.kdd1.txt,scM_1s4,Продолжайте играть!
ru.kdd1.txt,scM_1s5,"Вот небольшая награда! Попробуйте убить все глаза, не наступая на коричневую траву."
ru.kdd1.txt,scM_1s6,"Тараканьи Матки умрут сами, как только вы достигнете точки сохранения в правом верхнем углу."
ru.kdd1.txt,scM_1s7,"Браво, так держать!"
ru.kdd1.txt,sp1e0,Используйте цифровую клавиатуру для передвижения.
ru.kdd1.txt,sp1e1,"Если вы играете на ноутбуке, можно также использовать 789 гшщ олд (789uiojkl) для передвижения."
ru.kdd1.txt,sp1e2,"Идите на север, чтобы продолжить."
ru.kdd1.txt,sp1_3n2w1,"Ага, первый таракан подземелья!"
ru.kdd1.txt,sp1_3n2w2,"Иди к Битро, ты, будущий тараканий бургер!"
ru.kdd1.txt,sp1_3n2w3,"Чистая работа! Я чувствую, это задание окажется просто прекрасным!"
ru.kdd1.txt,sp1_6n2w,"Я мог бы перебить всех этих тараканов и не прячась в укрытии, но мне сегодня лень."
ru.kdd1.txt,sp1_6n3w1,Вы нашли секретную комнату!
ru.kdd1.txt,sp1_6n3w2,"Найдите и завоюйте все секретные комнаты, чтобы получить доступ в специальную зону мастеров."
ru.kdd1.txt,sp2_2e,"Эта матка наплодит кучу новых тараканов, пока я буду бегать за сферой и обратно!"
ru.kdd1.txt,sp2_1s1e1,"Эй, это же тенекрыл!"
ru.kdd1.txt,sp2_1s1e2,"Всего один... значит, придётся гоняться за ним по всей комнате."
ru.kdd1.txt,sp2_1s1e3,"Тенекрылы, в отличие от тараканов, убегают от Битро и стараются дежаться за пять клеток от него."
ru.kdd1.txt,sp2_1s1e4,"В больших количествах они, однако, менее пугливые и могут запросто напасть, если окружат."
ru.kdd1.txt,sp2_2s2e1,"А могу ли я перебить всех этих маток, прежде чем они отложат яйца?"
ru.kdd1.txt,sp2_2s2e2,Аааа... не успел!
ru.kdd1.txt,sp2_2s2e3,Ха! Никаких проблем!
ru.kdd1.txt,sp2_2s3e1,"Я уверен, можно было прикончить этих маток чище."
ru.kdd1.txt,sp2_2s3e2,"Вот ЭТО я понимаю, зачистил так зачистил."
ru.kdd1.txt,sp3_3n1e,"Ни одного узника не осталось? Одинокое будет задание, даже поговорить не с кем..."
ru.kdd1.txt,sp3_2n,Кроме шуток.
ru.kdd1.txt,sp3_1n2w0,"Ого!  Кажется, здесь без эликсира не обойтись!"
ru.kdd1.txt,sp3_1n2w1,"Ура!  Теперь матки не будут откадывать яйца, пока я от них далеко!"
ru.kdd1.txt,sp3_1n2w2,"Это было трудновато, но хороший зачиститель вроде меня и не такое может!"
ru.kdd1.txt,sp3_1n2w3,Ха!  Для меня трудных задач не бывает!
ru.kdd1.txt,sp3_1n1w1,"Эй, это довольно круто!"
ru.kdd1.txt,sp3_1n1w2,"Я знаю, что я мог бы очистить комнату и не становясь невидимым, но всё равно было весело."
ru.kdd1.txt,sp3_1n1w3,"Это было совсем не трудно... интересно, зачем там этот эликсир?"
ru.kdd1.txt,sp3_1s,"Я мог бы открыть все двери раньше, чем сейчас."
ru.kdd1.txt,sp3_3s1w1,Это выглядит подозрительно... какая то ловушка...
ru.kdd1.txt,sp3_3s1w2,"После удара по сфере я могу очистить комнату, не поворачивая меч. Просто для потехи!"
ru.kdd1.txt,sp3_3s1w3,"Ну, я повернул меч, но хотя бы жив остался!"
ru.kdd1.txt,sp3_3s1w4,"Ура!  Жалко, что меня никто не видел."
ru.kdd1.txt,sp4_2n1e,"Опять секретная комната там, где никто, кроме меня, её не ожидает."
ru.kdd1.txt,sp4_1n1,"Я мог бы зачистить комнату, не возвращаясь в коридор у входа."
ru.kdd1.txt,sp4_1n2,Битро Бадкин преодолеет любые трудности!
ru.kdd1.txt,sp4_2e1,"Ну дела! Может быть, и есть такая вещь, как слишком много двойников."
ru.kdd1.txt,sp4_1s2e,"Почему, когда уронишь все люки, комната всегда выглядит лучше?"
ru.kdd1.txt,spM_1s,Вы проиграли...
ru.kdd1.txt,achName0,Я Глаз На Тебя Положил
ru.kdd1.txt,achName1,Матереубийство
ru.kdd1.txt,achName2,Проснулся С Бодуна И Всех Ненавижу
ru.kdd1.txt,achName3,Настоящий Зачиститель
ru.kdd1.txt,achName4,Твёрдая Рука
ru.kdd1.txt,achName5,Догнать Матку
ru.kdd1.txt,achName6,Билет В Одну Сторону
ru.kdd1.txt,achName7,Будь Скорее!
ru.kdd1.txt,achName8,Будь Быстрее!
ru.kdd1.txt,achName9,Спокойная Рука
ru.kdd1.txt,achName10,Доберись до Свитка
ru.kdd1.txt,achName11,Видимость
ru.kdd1.txt,achName12,Антиневидимка
ru.kdd1.txt,achName13,Ускорение
ru.kdd1.txt,achName14,Восемь Ворот Билла
ru.kdd1.txt,achName15,Манипулятор Тараканов
ru.kdd1.txt,achName16,Тайна
ru.kdd1.txt,achName17,Не Оборачивайся
ru.kdd1.txt,achName18,Один Против Тараканов
ru.kdd1.txt,achName19,Хождение По Люкам
ru.kdd1.txt,achName20,Пустота В Пустоте
ru.kdd1.txt,achName21,Стильно!
ru.kdd1.txt,achName22,Начинающий Исследователь
ru.kdd1.txt,achName23,Неопытный Охотник
ru.kdd1.txt,achName24,Зачиститель По Контракту
ru.kdd1.txt,achName25,Я Профессионал!
ru.kdd1.txt,achName26,Завоеватель
ru.kdd1.txt,achName27,Мастер
ru.kdd1.txt,achName28,Таракан Гриль
ru.kdd1.txt,achName29,Нарезанные Матки
ru.kdd1.txt,achName30,Взбитые Яйца
ru.kdd1.txt,achName31,Пирог Из Дурных Глаз
ru.kdd1.txt,achName32,Тенекрыл Под Соусом
ru.kdd1.txt,achName33,Камертон
ru.kdd1.txt,achName34,Бей Зелёных
ru.kdd1.txt,achName35,Покори Орду
ru.kdd1.txt,achName36,Неупокоенный
ru.kdd1.txt,achName37,Властелин Времени
ru.kdd1.txt,achName38,Прогулки Над Бездной
ru.kdd1.txt,achName39,Шагаю По Москве
ru.kdd1.txt,achDesc0,Разбуди три дурных глаза одновременно
ru.kdd1.txt,achDesc1,"Убей тараканью матку, пока её яйца растут"
ru.kdd1.txt,achDesc2,"Да, надо быть деструктивным"
ru.kdd1.txt,achDesc3,Не прячься в укрытии в комнате 6С 2З на Первом Уровне
ru.kdd1.txt,achDesc4,"Очисти все, кроме одной, зараженные несекретные комнаты на Первом Уровне, не поворачивая меч. Сделано %% из 6-и"
ru.kdd1.txt,achDesc5,"Убей тараканью матку на Втором Уровне 2В, прежде чем она достигнет угла"
ru.kdd1.txt,achDesc6,"Не поворачивай меч на Втором Уровне 1Ю после того, как ударишь сферу"
ru.kdd1.txt,achDesc7,"Убей всех тараканьих маток, прежде чем они отложат яйца, на Втором Уровне 2Ю 2В"
ru.kdd1.txt,achDesc8,"Очисти Второй Уровень 2Ю 3В, прежде чем хоть одно яйцо будет отложено"
ru.kdd1.txt,achDesc9,Очисти Второй Уровень 3С не поворачивая меч
ru.kdd1.txt,achDesc10,"Доберись до свитка на Третьем Уровне 2С, не заходя в комнату снова"
ru.kdd1.txt,achDesc11,"Убей всех тараканов, не выпив эликсир на Третьем Уровне 1С 1З"
ru.kdd1.txt,achDesc12,"Очисти Третий Уровень 1С 2З, не выпив эликсир"
ru.kdd1.txt,achDesc13,"Очисти Третий Уровень 1С 1В без того, чтобы матки отложили яйца"
ru.kdd1.txt,achDesc14,Реши Восемь Ворот Билла (Третий Уровень 1Ю) за 5 ударов в сферы
ru.kdd1.txt,achDesc15,"Освободи всех трёх тараканов, прежде чем убить кого либо из них, на Третьем Уровне 2С 1В"
ru.kdd1.txt,achDesc16,"Очисти Третий Уровень 3С, не выпивая эликсир"
ru.kdd1.txt,achDesc17,"Очисти Четвёртый Уровень 1С, не возвращаясь в коридор у входа"
ru.kdd1.txt,achDesc18,"Очисти Четвёртый Уровень 1Ю 1В, не выпивая эликсир двойника"
ru.kdd1.txt,achDesc19,Урони все люки на Четвёртом Уровне 1Ю 2В и очисти комнату за тот же визит
ru.kdd1.txt,achDesc20,Очисти комнату на Четвёртом Уровне 2Ю 1В и урони все люки за тот же визит
ru.kdd1.txt,achDesc21,Покажи хороший стиль на Четвёртом Уровне 2В
ru.kdd1.txt,achDesc22,Очисти первый Уровень
ru.kdd1.txt,achDesc23,Очисти второй Уровень
ru.kdd1.txt,achDesc24,Очисти третий Уровень
ru.kdd1.txt,achDesc25,Очисти четвёртый Уровень
ru.kdd1.txt,achDesc26,Завоюй крепость
ru.kdd1.txt,achDesc27,Пройди зону мастеров
ru.kdd1.txt,achDesc28,Убей 35 тараканов
ru.kdd1.txt,achDesc29,Убей 20 тараканьих маток
ru.kdd1.txt,achDesc30,Разбей 15 тараканьих яиц
ru.kdd1.txt,achDesc31,Убей 15 дурных глаз
ru.kdd1.txt,achDesc32,Убей 5 тенекрылов
ru.kdd1.txt,achDesc33,Бей сферу три хода подряд
ru.kdd1.txt,achDesc34,Открой зелёные ворота 5 раз
ru.kdd1.txt,achDesc35,Убей в сумме 2500 монстров
ru.kdd1.txt,achDesc36,Умри в сумме 50 раз
ru.kdd1.txt,achDesc37,Отмени ход в сумме 250 раз
ru.kdd1.txt,achDesc38,Урони в сумме 100 люков
ru.kdd1.txt,achDesc39,Пройди в сумме 5000 ходов
ru.kdd1.txt,outro,"Что будет с Битро дальше? Какие новые опасности его подстерегают? Сможет ли он полностью очистить Подземелье Короля Дугана и наконец получить оплату?


<font size=""32"" color=""#FFFF00"">Поздравляем!</font>

Вы завершили первый эпизод Смертельных Комнат Смерти, Подземелья Короля Дугана (Флэш-версия). Мы очень надеемся, что вам понравилось.
Теперь, когда вы спустились по последним ступеням в этом эпизоде, вы можете попробовать Завоевать игру, а потом пройти Зону Мастеров! Для этого вы должны найти все секретные комнаты. Количество секретных комнат, оставшихся на каждом уровне, теперь будет показано в меню Загрузки Игры.
Когда вы пройдёте все секретные комнаты, специальная Зона Мастеров откроется для вас. Сможете ли вы найти вход в неё?
Вы можете также продолжить играть в следующий эпизод серии DROD:KDDL.

Но перед тем, как мы оставим вас купаться в лучах вашей славы, мы хотим поблагодарить несколько людей, которые сделали возможной эту игру:
	
	<font size=""26"" color=""#FFFF00"">Erik Hermansen</font> - Создатель, отец и изобретатель игры DROD. Без него сама идея игры никогда не увидела бы свет.

<font size=""26"" color=""#FFFF00"">Mike Rimer</font> - Он программировал DROD: JtRH and DROD: TCB практически собственноручно. Благодаря его отличной кодовой базе делать Flash DROD было сплошное удовольствие.

<font size=""26"" color=""#FFFF00"">Matt Schikore</font> - Повелитель форума Caravel и главный программист CaravelNet. С его помощью стала возможной таблица рекордов игроков, а также много других функций!


<font size=""23"" color=""#FFFF00"">Программирование, Разработка</font> - %%

<font size=""23"" color=""#FFFF00"">Графика и Музыка</font> - %%

<font size=""23"" color=""#FFFF00"">Серверные разработки</font> - %%

<font size=""23"" color=""#FFFF00"">Архитекторы Крепости</font> - %%

<font size=""23"" color=""#FFFF00"">Главные Тестеры</font> - %%

<font size=""23"" color=""#FFFF00"">Тестеры</font> - %%

<font size=""23"" color=""#FFFF00"">Переводы</font> - %%

<font size=""23"" color=""#FFFF00"">Голосовое Озвучивание</font> - %%

<font size=""23"" color=""#FFFF00"">Оригинальный Код, Идея и Уровни</font> - %%


Увидимся в следующий раз!

<font size=""18"" color=""#AAAAAA"">-Maurycy</font>"
ru.kdd1.txt,complNextGame,"Играйте в следующие уровни игры, KDD Lite 2. Игра откроется в новом окне. Это окно можно закрыть. Ваш прогресс был сохранён."
ru.kdd1.txt,scNew1,"Смотрите внимательно, что происходит в ход разрастания."
ru.kdd1.txt,scNew2,"Яйца не могут появлятся на люках, стрелках, и открытых жёлтых воротах."
ru.kdd1.txt,scNew3,"Ещё, если матка подвинулась в ход разрастания, на клетке, с которой она сошла, яйцо не появится."
ru.kdd1.txt,sc1_New1N1W,"Если вы не знали, Матки убегают от вас и не откладывают яйца на открытых жёлтых воротах."
ru.kdd1.txt,sc1_New3N1,"Тараканьи матки откладывают яйца каждые 30 ходов (через ход после того, как часы разрастания станут красными)."
ru.kdd1.txt,sc1_New3N2,"Яйца вырастут во взрослых тараканов через 5 ходов после того, как их отложили."
ru.kdd1.txt,sc1_New3E,"Тараканьи матки убегают от Битро. Это поведение можно использовать, чтобы ими манипулировать."
ru.kdd1.txt,sc1_new6n2w1,Разрушающиеся и секретные стены можно разбивать мечом.
ru.kdd1.txt,sc1_new6n2w2,"Секретные стены, однако, гораздо лучше сливаются с обычными."
ru.kdd1.txt,sc1_new6n2w3,"Не пропустите тех, что в углу, когда вы вернётесь назад."
ru.kdd1.txt,sc1_5n1w3,Поведение элементов в игре строго подчиняется определённым правилам - нет никакого случайного или непредсказуемого поведения.
ru.kdd1.txt,sc1_new6N,"Секреты не обязательно решить все за один проход игры, чтобы завоевать Крепость. Можно вернуться потом."
ru.kdd1.txt,sc_evileyes,"На этом уровне вы встретите дурные глаза. Как только вы пересечёте их поле зрения, они проснутся и погонятся за вами, как тараканы."
ru.kdd2.txt,Fifth Level,Пятый Уровень
ru.kdd2.txt,Sixth Level,Шестой Уровень
ru.kdd2.txt,Seventh Level,Седьмой Уровень
ru.kdd2.txt,Eighth Level,Восьмой Уровень
ru.kdd2.txt,Mastery Level,Зона Мастера
ru.kdd2.txt,Tutorial,Учебный Уровень
ru.kdd2.txt,entr5,"Битро Бадкин, профессиональный зачиститель подземелий пятого поколения, был нанят Королём Дуганом, чтобы очистить многоэтажные королевские темницы от огромного скопища монстров.
Битро заплатят за каждую комнату, и как профессионал, по контракту он обязуется очистить все комнаты в подземелье, перед тем как получить оплату.
Единственное оружие, нужное Битро для работы - это его Очень Большой Меч, разящий почти любого монстра с одного удара.

-----

Предыдущий уровень заставил Битро вспотеть. ""Вижу, что задание окажется тяжелее, чем я думал раньше."" К его счастью, со следующего уровня дул приятный прохладный ветерок."
ru.kdd2.txt,entr6,"Возможно, архитектор слегка перестарался, пытаясь вдолбить свою точку зрения, в чём бы она ни заключалась. В любом случае, можно только порадоваться, что больше таких уровней в Подземельях Дугана нет."
ru.kdd2.txt,entr6Back,"Битро вернулся закончить работу по зачистке, на которую он был нанят."
ru.kdd2.txt,entr7,"Спускаясь по ступеням, Битро услышал сильное шипение. Как закалённый профессионал, он сразу понял, что это такое, но был удивлён его громкостью. ""Ну и ну! Сколько же этих злобных тварей там скрывается?"""
ru.kdd2.txt,entr8,"Некоторые монстры хитры и смертельно опасны, а за другими просто очень муторно убирать."
ru.kdd2.txt,entrMaster,"Битро спустился по ступеням и оказался в не отмеченном на карте коридоре...

За зачистку этого места он не получит платы, но профессиональная гордость не позволяет ему оставить уровень неочищенным."
ru.kdd2.txt,entrTut,Учебный Уровень
ru.kdd2.txt,entrTutLeave,"Битро покинул учебный этаж, обогащённый новыми знаниями."
ru.kdd2.txt,entrPremaster,"Битро, спотыкаясь, брёл вверх и вниз по очень плохо освещённым лестницам. ""Это опасно для жизни, а здесь даже нет тараканов! Хоть бы перила поставили что-л..."" подумал Битро перед тем, как он упал на двенадцать пролётов вниз и на час потерял сознание от удара. Проснувшись после ужасных, кошмарных снов про пироги из глаз, Битро осмотрел комнату в которой очутился нетвёрдым взглядом. ""Чёрт! Неужели трудно было пометить эти места на карте?"""
ru.kdd2.txt,sc51n2w,"Надеюсь, вы оставили себе путь назад."
ru.kdd2.txt,sc63e,Секретный Проход
ru.kdd2.txt,sc61s1w,"Это Стена Мастера
Она откроется, когда вы закончите последний уровень, а также решите все секретные комнаты."
ru.kdd2.txt,sc72n1w,"Слабоумные, возвращайтесь назад! Эту комнату может пройти только гигант мысли.
(Комната не является обязательной.)"
ru.kdd2.txt,sc71n1,"Я не думал, что вы действительно сможете это решить."
ru.kdd2.txt,sc71n2,"Ладно, должен признать: это не совсем похоже на световые мотоциклы.

-Эрик"
